houses_link	review_link	author	message
Факел	Отзывы	Андрей Алексеенков	Очень классный комплекс.  В домах по два подъезда, сами подъезды большие теплые, всё чисто. Дворы не большие но место для машины всегда есть. Тут же небольшие  детские площадки установлены. Всё убирается, подметается, чистится от снега.
Факел	Отзывы	Первое	Современный ЖК с крутой инфраструктурой. Есть несколько подземных парковок с лифтами. Достойное место для жизни. Правда ценник на квартиры заоблачный))
Факел	Отзывы	Марина D	"Добрый день!
Скажу за себя - ожидание и реальность не совпали. 
Место в целом не плохое, все необходимое рядом. Качество строительства дома среднее, бывает и хуже. Вид не плохой, стены относительно ровные. 

Дальше правда жизни: 
1. С потолками обманули, обещали 2,8 в реальности - 2,6 в строительной отделке, точнее без никакой отделки. намазанный бетон на полу и кирпичи. Стяжка пола, натяжной потолок, высота как в хрущёвках обеспечена ((
2. Казалось бы угловой дом... Двор большой для детей... Но его нет(( весь двор отдали под частный детский сад. Детская площадка за стройкой нового дома, за забором, для галочки. если вашему ребенку 3 года, есть шанс на ней поиграть. 

3. НИКАКОГО бережного отношения к лифтам и зонам общего пользования, все ободрано!!! Фото во вложении
4. Сорвали сроки сдачи дома на 6 месяцев! Асфальт и площадки на снег!

Кто купил давно на перепродажу, или сдавать - выиграли!
Мы покупали для жизни - расстроились.
застройщик ""Игротек"" совсем обнаглел. Сплошной обман. 
Не советую."
Факел	Отзывы	sonya sonya	"Удобное расположение, рядом автобусная остановка, учебное заведение, множество магазинов. Есть ТЦ, прямо в 4 корпусе присутствует магазин ""Магнит"", виды из окна замечательные"
Факел	Отзывы	Юлия Тимохина	Расположен практически в центре города.Отличная транспортная доступность, остановка перед домом. Рядом 2 школы, свой частный детский сад.
Факел	Отзывы	Ирина Крылова	"Любуюсь этим ЖК. Современный вид очень оживляет пейзаж Проспекта Строителей. У подруги квартира в одном из домов ЖК ""Факел"", отличная планировка и площадь. В других квартирах не была). С парковкой, правда, напряг бывает. Но это бич современных городов."
Факел	Отзывы	Юлия☀️	Крутой район, красиво смотрится и днём и ночью, весь сверкает, иду с работы и любуюсь, цены на квартиры высокие,но оно того стоит👍
Факел	Отзывы	Екатерина Грачёва	Удобное расположение, много транспорта, вид из окна на стадион, много зелени, красота! Новые дома, много детских площадок, нам очень понравилось
Факел	Отзывы	Шамиль Магомедов	На удивление район очень преобразился . ТЦ черемушки тоже очень удобный комфортный . Молодцы
Факел	Отзывы	Екатерина Вялова	Очень примечательный, молодежный райончик. Все под рукой. На любой вкус. Удобный для жизни.
Факел	Отзывы	The BEST	"Не плохой жилой комплекс.
Относительно не далеко от исторического центра и Золотых ворот.
Цены умеренные.
Рядом есть парк большой.
И новый торговый центр "" Черёмушки""."
Факел	Отзывы	Валерон 33	Вроде и дома неплохие, но понатыканы один к другому, плюс еще движение автотранспорта делают напряженнее. Надо было сами дома поменьше сделать, я думаю
Факел	Отзывы	Лидия Александровна	"Хороший жилой комплекс
Рядом остановка, торговый центр Черемушки, супермаркеты"
Факел	Отзывы	Елисей Королёв	Огромные многоэтажки, выглядящие однообразно и безвкусно, так же из-за такого количества квартир возникает огромное опасение загруженности дорог рядом.
Факел	Отзывы	Светлана С.	Многие необходимые магазины , а так же с другой стороны спортивная площадка, где мы проводим фитнес тренировку Зумба.  А так же ровная поверхность и новый асфальт беговой дорожки.
Факел	Отзывы	Сергей П	"Понравилось · Жили 3 ночи на Старый Новый год 2022. Апартаменты расположены в новом доме. Хороший дизайн квартиры. Хозяева, при возможности, откликаются на просьбы постояльцев - апартаменты были свободны в день заезда и мы смогли заехать раньше 14 часов, К сожалению, с поздним выездом не получилось - в этот день был очередной заезд. В доме расположен магазин ""Магнит"". На другой стороне улицы есть пекарня и еще 2 магазина Магнит. Недалеко остановка общественного транспорта. Если едете на нем, то рассчитывайте время - по утрам пробки и у троллейбусов может заканчиваться электричество. Такси в центр от 150р, максимально было 350р - в 8 утра по пробкам на автовокзал за 20 минут. В другое время - меньше.

Не понравилось · Жить в этих апартаментах не стал бы - вид на стену соседнего дома, но провести несколько ночей вполне можно. Стульчак высоковат. И батареи жарили дай бог - приходилось приоткрывать окно. Набор из кастрюли и сковородки для готовки скудноват, но минимум обеспечивает."
Факел	Отзывы	Андрей Фадеев	"Новый микрорайон
Построен в современном стиле
Рядом торговый центр черемушки 
Также спортивная площадка, рекомендую"
Факел	Отзывы	Ирина	Нравиться, что дома высокий,а на самом деле загораживает солнце до 12 дня Проспекту строителей,там темно ,сам район  как ульи,красиво выглядят торг центр Черёмушки,посетить его для жителей  района здорово,удобно,для молодёжи  тоже, а так планировка домов не нравиться совершенно многим жителям
Факел	Отзывы	Андрей Ж.	Хату там строю норм туда сюда штукатурка быстро едет на лифте пацаны иногда медленно разгружают
Факел	Отзывы	Иван	"Обычный многоэтажный дом.
Плюсы:
-в пристройке дома и через дорогу есть все первично необходимые магазины.
-рядом с домом есть ограждённая зона с мусорными баками – удобно.
-отличный вид на город с верхних этажей.
-подъезд чистый, ничем не воняет.
Минусы:
-средняя шумоизоляция. Вы не услышите, как сосед чихает, но звуки семейной ссоры до вас дойдут.
-в подъёзде(а именно корп4  подъёзд 2) иногда перебои с освещением. Некоторые лампы могут на минуту вырубиться, а потом заработать как ни в чём не бывало.

В целом место для жилья подходящее."
Факел	Отзывы	Татьяна Клименко	Новый комплекс,хорошо обустроен,много места
Факел	Отзывы	Светлана Коровкина	Отличный район, удобно добираться в любую точку города. Развитая инфраструктура.
Факел	Отзывы	Дмитрий Ефимцов	"Замечательный комплекс, развитая инфраструктура. Все под ""рукой"" магазины, банки, торговый центр, крупнейшая юридическая служба России, школы, сады."
Факел	Отзывы	Владимир К.	Прекрасное месторасположение. Рядом ТЦ, много магазинов и парк.
Факел	Отзывы	Григорий Чечкин	Удобно расположен по отношению к Университету. Шумоизоляция хорошая, обеспеченность магазинами отличная.
Факел	Отзывы	Максим Чертов	Квартира понравилась. Прикольный дизайн. Останавливались с детьми. Чисто, хороший вид, удобное расположение.  Магазины рядом. Удобный матрас.
Факел	Отзывы	Сергей Лобанов	Ожидание от сдачи было грандиозное, новый дом всё типо круто, по факту косяки от застройщика не устранются, двери на лестничной клетке всё сломаны, лампы не горят, снег чистят плохо, напор воды горячей очень слабый. Платёжки тоже не радуют! Одним словом большой человейник
Факел	Отзывы	сергей	Не был не знаю, но приехать и уехать не проблема, практически все маршруты проходят тут, магазинов куча всяких разных, от продуктов до электрики.
Факел	Отзывы	Алексей Климачев	Когда начиналась застройка вовсю кричали о доступном жильё для молодых семей. 3700000рубасов за 40 с небольшим квадратных метров...!!!! Прямо мечта молодых!!! И прямо так доступно просто слеза прошибает!!!
Факел	Отзывы	Дарья Юничева	Очень приятное место) периодически живу тут))
Факел	Отзывы	Татьяна Статина	Во владимире строят много. Нравится, что это не точечная застройка, а целыми комплексами. Рассматривали Факел. Хорошая локация, удобно на машине, красивый современный комплекс. Но... цены высокие ( и еще помогают накручивать риэлторы)  и низкие потолки. Не купили.
Факел	Отзывы	Evgeny Stebelskiy	"Это точно не премиум класс!
Года нет дому, а могилевлифтмаш не удивляет, лифты работают с перебоями и походу живут своей жизнью, самые долгие лифты, которые я знаю. Слышимость соседей на уровне охов и ахов ночных забав, а если кто-то замутит вечеринку, то без полиции не обойтись. Во дворе ужасно мало места, так что парковка за лям (как говорят, может и дороже) обязательно нужна. Снимаю однушку, планировка нравится, кухня большая, огонь! Лоджия по ширине всей квартиры (но это только у однушек), как допместо вполне неплохо расширяет квартиру, еще бы утеплить и было бы вообще супер."
Факел	Отзывы	Юлия Стравойтова	Замечательный район, красивый ЖК. Корпуса окна в окна конечно спорный момент. Но ведь есть ещё офигенный первый корпус и ещё два дома.... Сдают пока все по срокам. Есть отличные правильные планировки трешек, что большой дефицит в городе.
Факел	Отзывы	Олег М.	Очень бюджетно. Слышимость высокая, дешевая отделка подьездов. Хорошо что подземный паркинг есть
Факел	Отзывы	елена земскова	Удобное расположение, а главное спорт комплекс во дворе, это просто кайф
