Новостройки,Оценка,Автор отзыва,Отзыв,Отзывы очищенные,RuterExtractor,Ключевые слова BERT,Ключевые слова YAKE,Все ключевые слова YAKE,Ключевые слова rake,Ключевые слова RAKE,Ключевые слова_filtered,
По ул. Соловьиная,Положительная,Инкогнито 9678,Очень спокойный и тихий район,очень спокойный тихий район,спокойный тихий район,"очень спокойный, тихий спокойный, спокойный тихий, спокойный район, отличный современный, общественный транспорт, устаревшие технологии, очень симпотично, добрый спокойные, остальном красивый","['спокойный тихий район', 'район', 'тихий']","спокойный тихий район, район, тихий",очень спокойный тихий район,"очень, спокойный, тихий, район",очень спокойный тихий район,
По ул. Соловьиная,Положительная,Pavel Лебедев,"Место классное. Дома новые, лифты в домах объёмные, удобные. Я недавно квартиру купил в соседнем-18-ом доме, район очень перспективный, правда тут ещё работать и работать, но надеюсь скоро всё поставят, доведут до ума.",место классное дома новые лифты домах объёмные удобные недавно квартиру купил соседнем ом доме район очень перспективный правда ещё работать работать надеюсь скоро всё поставят доведут ума,"новые лифты, классное дом, ум, район, место, дома","достопримечательностью подкачали, качественных стройматериалов, предоставляющая коммунальные, давыдовский непривычно, недочёты благоустройству, подключаемой водоснабжению, дополнительного образования, площадки оборудованные, главной достопримечательностью, доброжелательные соседи","['поставят доведут ума', 'место классное дома', 'дома новые лифты', 'лифты домах объёмные', 'квартиру купил соседнем', 'работать надеюсь скоро', 'объёмные удобные', 'удобные недавно квартиру', 'район очень перспективный', 'перспективный правда']","поставят доведут ума, место классное дома, дома новые лифты, лифты домах объёмные, квартиру купил соседнем, работать надеюсь скоро, объёмные удобные, удобные недавно квартиру, район очень перспективный, перспективный правда",место классное дома новые лифты домах объёмные удобные недавно квартиру купил соседнем ом доме район очень перспективный правда ещё работать работать надеюсь скоро всё поставят доведут ума,"место, классное, дома, новые, лифты, домах, объёмные, удобные, недавно, квартиру, купил, соседнем, ом, доме, район, очень, перспективный, правда, ещё, работать, работать, надеюсь, скоро, всё, поставят, доведут, ума",место классное дома новые лифты домах объёмные удобные недавно квартиру купил соседнем ом доме район очень перспективный правда ещё работать работать надеюсь скоро всё поставят доведут ума,
По ул. Соловьиная,Нейтральная,Сергей Колпаков,"Район не плохой, но все время холодно.",район плохой время холодно,район,"расположение отлично, расположение хорошее, расположение хорошая, расположен пригороде, хорошее расположение, время холодно, расположение удачное, расположение отличное, расположен окраине, микрорайон хочется","['район плохой', 'плохой время холодно']","район плохой, плохой время холодно",район плохой время холодно,"район, плохой, время, холодно",район плохой время холодно,
По ул. Соловьиная,Положительная,Алексей Козлов,"Тихое место, инфраструктура появляется. Дом новый.",тихое место инфраструктура появляется дом новый,"тихое место, инфраструктура, дом","недочёты благоустройству, недоработки домовых, технологии неряшливое, необходимая инфрастурктура, инфраструктуры находится, домов многоквартирных, напротив торговый, инфраструктуры надеемся, планировки трехкомнатных, месторасположение новый","['тихое место инфраструктура', 'появляется дом новый', 'инфраструктура появляется дом', 'тихое', 'новый', 'место', 'дом']","тихое место инфраструктура, появляется дом новый, инфраструктура появляется дом, тихое, новый, место, дом",тихое место инфраструктура появляется дом новый,"тихое, место, инфраструктура, появляется, дом, новый",тихое место инфраструктура появляется дом новый,
По ул. Соловьиная,Положительная,Анонимный отзыв,Хороший тихий район,хороший тихий район,хороший тихий район,"хороший район, район хороший, хороший тихий, хороший микрорайон, район хорошем, хороший ремонт, хотелось районе, хороший решать, катино хороший, хороший чистый","['хороший тихий район', 'район', 'тихий']","хороший тихий район, район, тихий",хороший тихий район,"хороший, тихий, район",хороший тихий район,
Новый город,Положительная,Денис К.,"Микрорайон лучшего качества проживания, все рядом : детский сад, магазины, строится новая школа, торговый центр РИО в шаговой доступности. У каждого дома детские функциональные детские площадки, оборудованные горками, качелями и всякими развлекалками для детей, так же за домом Ермакова 3 есть мини футбольное поле. Отличное место для проживания, единственный минус -это мало парковочных мест для авто.",микрорайон лучшего качества проживания рядом детский сад магазины строится новая школа торговый центр рио шаговой доступности каждого дома детские функциональные детские площадки оборудованные горками качелями всякими развлекалками детей домом ермакова мини футбольное поле отличное место проживания единственный минус это мало парковочных мест авто,"отличное место проживания, футбольное поле, торговый центр, новая школа, детский сад, мини, микрорайон, магазины, авто","достопримечательностью подкачали, качественных стройматериалов, предоставляющая коммунальные, благоустройству количеству, большинства костромичей, главной достопримечательностью, отслаивающейся квартирах, продолжается благоустройством, достопримечательности музеи, производства работавшего","['микрорайон лучшего качества', 'парковочных мест авто', 'детский сад магазины', 'сад магазины строится', 'строится новая школа', 'новая школа торговый', 'рио шаговой доступности', 'доступности каждого дома', 'площадки оборудованные горками', 'горками качелями всякими']","микрорайон лучшего качества, парковочных мест авто, детский сад магазины, сад магазины строится, строится новая школа, новая школа торговый, рио шаговой доступности, доступности каждого дома, площадки оборудованные горками, горками качелями всякими",микрорайон лучшего качества проживания рядом детский сад магазины строится новая школа торговый центр рио шаговой доступности каждого дома детские функциональные детские площадки оборудованные горками качелями всякими развлекалками детей домом ермакова мини футбольное поле отличное место проживания единственный минус это мало парковочных мест авто,"микрорайон, лучшего, качества, проживания, рядом, детский, сад, магазины, строится, новая, школа, торговый, центр, рио, шаговой, доступности, каждого, дома, детские, функциональные, детские, площадки, оборудованные, горками, качелями, всякими, развлекалками, детей, домом, ермакова, мини, футбольное, поле, отличное, место, проживания, единственный, минус, это, мало, парковочных, мест, авто",микрорайон лучшего качества проживания рядом детский сад магазины строится новая школа торговый центр рио шаговой доступности каждого дома детские функциональные детские площадки оборудованные горками качелями всякими развлекалками детей домом ермакова мини футбольное поле отличное место проживания единственный минус это мало парковочных мест авто,
Новый город,Положительная,Савелий Чурляев,"Отличный район. Рядом детский сад, магазины, сервисы обслуживания. Удобно, рядом с мостом  . Хорошее состояние домов. Рядом строится новая школа. Всë отлично",отличный район рядом детский сад магазины сервисы обслуживания удобно рядом мостом хорошее состояние домов рядом строится новая школа вс отлично,"хорошее состояние домов, сервисы обслуживания, отличный район, новая школа, детский сад, мост, магазины, вс","достопримечательностью подкачали, предоставляющая коммунальные, продолжается благоустройством, качественных стройматериалов, дополнительного образования, главной достопримечательностью, давыдовский непривычно, давыдовского привыкать, достопримечательности музеи, взаимодействие собственниками","['детский сад магазины', 'сад магазины сервисы', 'сервисы обслуживания удобно', 'мостом хорошее состояние', 'отличный район', 'школа вс отлично', 'район рядом детский', 'строится новая', 'новая школа', 'сад']","детский сад магазины, сад магазины сервисы, сервисы обслуживания удобно, мостом хорошее состояние, отличный район, школа вс отлично, район рядом детский, строится новая, новая школа, сад",отличный район рядом детский сад магазины сервисы обслуживания удобно рядом мостом хорошее состояние домов рядом строится новая школа вс отлично,"отличный, район, рядом, детский, сад, магазины, сервисы, обслуживания, удобно, рядом, мостом, хорошее, состояние, домов, рядом, строится, новая, школа, вс, отлично",отличный район рядом детский сад магазины сервисы обслуживания удобно рядом мостом хорошее состояние домов рядом строится новая школа вс отлично,
Новый город,Положительная,Елена,"Все так пугают заволгой, думала, что долго буду после Давыдовского привыкать к этому району. Зря переживала. Садик в 5 минутах, школу достраивают, РИО рядом, пятёрки, магнит, озон, аптеки, парк рядом. Все нравится!",пугают заволгой думала долго буду давыдовского привыкать этому району зря переживала садик минутах школу достраивают рио рядом пятёрки магнит озон аптеки парк рядом нравится,"озон аптеки, садик, район, пятёрки, парк, магнит","достопримечательностью подкачали, звукопроницаемость ужасная, звукоизоляции подводя, продолжается благоустройством, производства работавшего, благоустройству количеству, главной достопримечательностью, застройщику подрядчиков, подрядчиков застройщиков, давыдовского привыкать","['пугают заволгой думала', 'району зря переживала', 'переживала садик минутах', 'садик минутах школу', 'минутах школу достраивают', 'пятёрки магнит озон', 'магнит озон аптеки', 'парк рядом нравится', 'давыдовского привыкать', 'привыкать этому району']","пугают заволгой думала, району зря переживала, переживала садик минутах, садик минутах школу, минутах школу достраивают, пятёрки магнит озон, магнит озон аптеки, парк рядом нравится, давыдовского привыкать, привыкать этому району",пугают заволгой думала долго буду давыдовского привыкать этому району зря переживала садик минутах школу достраивают рио рядом пятёрки магнит озон аптеки парк рядом нравится,"пугают, заволгой, думала, долго, буду, давыдовского, привыкать, этому, району, зря, переживала, садик, минутах, школу, достраивают, рио, рядом, пятёрки, магнит, озон, аптеки, парк, рядом, нравится",пугают заволгой думала долго буду давыдовского привыкать этому району зря переживала садик минутах школу достраивают рио рядом пятёрки магнит озон аптеки парк рядом нравится,
Новый город,Положительная,Серега,Пожалуй самый лучший микрорайон в городе. Чисто уютно. Нет проблем с парковками. Все в шаговой доступности. Отличные дома.,пожалуй самый лучший микрорайон городе чисто уютно проблем парковками шаговой доступности отличные дома,"отличные дом, город","достопримечательностью подкачали, качественных стройматериалов, главной достопримечательностью, предоставляющая коммунальные, подключаемой водоснабжению, благоустройству количеству, достопримечательности музеи, продолжается благоустройством, подобными застройщиками, большинства костромичей","['пожалуй самый лучший', 'доступности отличные дома', 'самый лучший микрорайон', 'микрорайон городе чисто', 'городе чисто уютно', 'чисто уютно проблем', 'уютно проблем парковками', 'парковками шаговой доступности', 'дома', 'самый']","пожалуй самый лучший, доступности отличные дома, самый лучший микрорайон, микрорайон городе чисто, городе чисто уютно, чисто уютно проблем, уютно проблем парковками, парковками шаговой доступности, дома, самый",пожалуй самый лучший микрорайон городе чисто уютно проблем парковками шаговой доступности отличные дома,"пожалуй, самый, лучший, микрорайон, городе, чисто, уютно, проблем, парковками, шаговой, доступности, отличные, дома",пожалуй самый лучший микрорайон городе чисто уютно проблем парковками шаговой доступности отличные дома,
Новый город,Положительная,Дмитрий С,Самый лучший и уютный район города!!!!! В восторге от проживания!!!!,самый лучший уютный район города восторге проживания,,"звукопроницаемость ужасная, главной достопримечательностью, предоставляющая коммунальные, продолжается благоустройством, работники управления, достопримечательностью подкачали, возможностью передвижения, молодой развивающийся, камуникации дворовые, дополнительного образования","['самый лучший уютный', 'города восторге проживания', 'уютный район города', 'самый', 'район']","самый лучший уютный, города восторге проживания, уютный район города, самый, район",самый лучший уютный район города восторге проживания,"самый, лучший, уютный, район, города, восторге, проживания",самый лучший уютный район города восторге проживания,
